Map site number,Site Name,Site Code,Department,Province,District,Latitude,Longitude,On-site measurement,Google Earth,Recorded,Site Location notes (Satellite imagery 2020), 
211,Andoas Viejo ,LO-PT-002,Loreto,Datem del Marañón,Andoas,-2.905263569,-76.39239367,No,213,211,At the edge of river,"RIVAS PANDURO, Santiago. 2007. Arqueología Amazónica. Componente temático para la mesozonificación ecológica y económica de las cuencas de los ríos Pastaza y Morona. 113 pp. Informe Final presentado al PROFONAMPE-UNAP. Iquitos, Perú. // RIVAS PANDURO, Santiago; Ada MEDINA MENDOZA; Julio ABANTO LLAQUE; Richer RÍOS ZUMAETA; Corina CALDAS CARRILLO. 2007. Arqueología de las cuencas del Pastaza y Morona. Reporte de zonificación ecológica económica. Pp. 269-302. Amazonía Peruana, Tomo XV, N° 31. CAAAP. Lima, Perú."
212,Nuevo Sabaloyacu o Sabaloyacu,LO-PTZ-SAB-12,Loreto,Datem del Marañón,Andoas,-3.304715471,-76.33473798,No,192,188,At the edge of river,"MEDINA MENDOZA, Ada. 2005. Proyecto de evaluación arqueológica con excavaciones en el área sujeta a actividades exploratorias del Lote 101 - Pastaza, Departamento de Loreto. 500 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. //  WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
213,Quebrada Anisetuy,-,Loreto,Datem del Marañón,Andoas,-3.321174908,-76.33595694,No,193,191,In the river,"MEDINA MENDOZA, Ada. 2005. Proyecto de evaluación arqueológica con excavaciones en el área sujeta a actividades exploratorias del Lote 101 - Pastaza, Departamento de Loreto. 500 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
214,Quebrada Martina,-,Loreto,Datem del Marañón,Andoas,-3.319578533,-76.33929353,No,190,192,At the edge of river,"MEDINA MENDOZA, Ada. 2005. Proyecto de evaluación arqueológica con excavaciones en el área sujeta a actividades exploratorias del Lote 101 - Pastaza, Departamento de Loreto. 500 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
215,Purmamayna,-,Loreto,Datem del Marañón,Andoas,-3.359977141,-76.30851526,No,191,192,-,"MEDINA MENDOZA, Ada. 2005. Proyecto de evaluación arqueológica con excavaciones en el área sujeta a actividades exploratorias del Lote 101 - Pastaza, Departamento de Loreto. 500 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
216,Punta Pardo o Puerto Pardo,-,Loreto,Datem del Marañón,Andoas,-3.715341621,-76.40702974,No,175,-,-,"MYERS, Thomas; y, Santiago RIVAS PANDURO. 2005. Evidencias arqueológicas en el Alto Amazonas. Explorando las cuencas de los ríos Aichiyacu y Morona. Pp. 1-40. Unay Runa, N° 7. Lima, Perú. // WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
217,Quebrada Tucunare o Sector Pasto,LO-PTZ-SAB-12A,Loreto,Datem del Marañón,Andoas,-3.305546883,-76.32852065,Yes,205,-,-,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
218,Quebrada Tucunare-Carpayo,-,Loreto,Datem del Marañón,Andoas,-3.330139824,-76.28725479,Yes,196,-,-,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
219,San Luis,-,Loreto,Datem del Marañón,Andoas,-3.698317854,-76.40295163,Yes,177,-,In the river,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
220,Boca del Loboyacu,-,Loreto,Datem del Marañón,Andoas,-3.661151027,-76.36473239,Yes,174,-,-,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
221,Santa Rosa,-,Loreto,Datem del Marañón,Andoas,-3.747422456,-76.40638755,Yes,165,-,In the river,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
222,Terraza Zungache,-,Loreto,Datem del Marañón,Andoas,-3.75989198,-76.43555098,Yes,167,-,In the river,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
223,Yanayacu,-,Loreto,Datem del Marañón,Andoas,-3.364595228,-76.33120985,Yes,198,-,-,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
224,Pirum,-,Loreto,Datem del Marañón,Andoas,-3.116086473,-76.40051605,Yes,206,-,In the river,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
225,Punto de Muestreo 2,-,Loreto,Datem del Marañón,Andoas,-3.159713984,-76.20110618,Yes,205,-,-,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
226,Punto de Muestreo 3,-,Loreto,Datem del Marañón,Andoas,-3.542693015,-76.23234151,Yes,184,-,-,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
227,Punto de Muestreo 5,-,Loreto,Datem del Marañón,Andoas,-3.298309289,-76.28193106,Yes,201,-,-,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
228,Campamento Base Alternativo,-,Loreto,Datem del Marañón,Andoas,-3.323823228,-76.3305519,Yes,184,-,In the river,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
229,Pozo Exploratorio 1X Runtusapa,-,Loreto,Datem del Marañón,Andoas,-3.15398588,-76.2110967,Yes,205,-,-,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
230,Terraza Chumbe,-,Loreto,Datem del Marañón,Andoas,-3.761988611,-76.43651775,Yes,169,-,In the river,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
231,Naranjal,-,Loreto,Datem del Marañón,Andoas,-3.157897832,-76.43397068,Yes,197,-,In the river,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
232,Quebrada María,-,Loreto,Datem del Marañón,Andoas,-3.162715866,-76.41613509,Yes,213,-,-,"WALSH PERÚ. 2006. Estudio de Impacto Ambiental y Social de la Prospección Sísmica 3D Perforación Exploratoria del Lote 101. Volumen IV: Línea Base Arqueológica, para la empresa Talisman Energy. 20 pp. Lima, Perú."
233,Volante 4,LO-PTZ-VOL-6,Loreto,Datem del Marañón,Andoas,-2.816848653,-76.41243589,No,222,-,-,"ABANTO LLAQUE, Julio. 2004. Evaluación arqueológica sin excavaciones en el Lote 1-AB. Zonas: Carmen, Jíbaro N.O. y Tambo. 26 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 a. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sectores Carmen y Jíbaro N.O. Lote 1-AB. Primera Parte: Informe de la delimitación de los sitios Alianza Topal y Capahuari. 60 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 b. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sectores Carmen y Jíbaro N.O. Lote 1-AB. Segunda Parte: Informe del plan de monitoreo arqueológico para el Programa de estudio y exploraciones de Sísmica 3D, en el Lote 1 AB, Sector: Carmen. 64 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 c. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y Plan de Monitoreo Arqueológico para los Sectores Carmen y Jíbaro N.O. Lote 1-AB. Informe de la ficha técnica, memoria descriptiva y planos de sitios delimitados. 14 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
234,Bahía,-,Loreto,Datem del Marañón,Andoas,-2.812672215,-76.45479622,No,219,-,-,"ABANTO LLAQUE, Julio. 2004. Evaluación arqueológica sin excavaciones en el Lote 1-AB. Zonas: Carmen, Jíbaro N.O. y Tambo. 26 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 a. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y Plan de Monitoreo Arqueológico para los Sectores Carmen y Jíbaro N.O. Lote 1-AB. Primera Parte: Informe de la delimitación de los sitios: Alianza Topal y Capahuari. 60 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 b. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y Plan de Monitoreo Arqueológico para los Sectores Carmen y Jíbaro N.O. Lote 1-AB. Segunda Parte: Informe del plan de monitoreo arqueológico para el programa de estudio y exploraciones de Sísmica 3D, en el Lote 1 AB, Sector: Carmen. 64 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 c. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sectores Carmen y Jíbaro N.O. Lote 1-AB. Informe de la Ficha Técnica, Memoria Descriptiva y Planos de Sitios Delimitados. 14 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
235,Capahuari,-,Loreto,Datem del Marañón,Andoas,-2.868719173,-76.38907489,No,221,213,-,"ABANTO LLAQUE, Julio. 2004. Evaluación arqueológica sin excavaciones en el Lote 1-AB. Zonas: Carmen, Jíbaro N.O. y Tambo. 26 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 a. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y Plan de Monitoreo Arqueológico para los Sectores Carmen y Jíbaro N.O. Lote 1-AB. Primera Parte: Informe de la delimitación de los sitios Alianza Topal y Capahuari. 60 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 b. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y Plan de Monitoreo Arqueológico para los Sectores Carmen y Jíbaro N.O. Lote 1-AB. Segunda Parte: Informe del plan de monitoreo arqueológico para el programa de estudio y exploraciones de Sísmica 3D, en el Lote 1 AB, Sector: Carmen. 64 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 c. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sectores Carmen y Jíbaro N.O. Lote 1-AB. Informe de la ficha técnica, memoria descriptiva y planos de sitios delimitados. 14 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
236,Pañayacu,-,Loreto,Datem del Marañón,Andoas,-2.956077586,-76.38314562,No,208,-,At the edge of river,"MEDINA MENDOZA, Ada. 2005. Proyecto de evaluación arqueológica con excavaciones en el área sujeta a actividades exploratorias del Lote 101 - Pastaza, Departamento de Loreto. 500 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
237,Alianza Topal,LO-PTZ-ATOP-7,Loreto,Datem del Marañón,Andoas,-2.856195098,-76.42384399,No,216,-,-,"ABANTO LLAQUE, Julio. 2004. Evaluación arqueológica sin excavaciones en el Lote 1-AB. Zonas: Carmen, Jíbaro N.O. y Tambo. 26 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 a. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sectores Carmen y Jíbaro N.O. Lote 1-AB. Primera Parte: Informe de la Delimitación de los Sitios Alianza Topal y Capahuari. 60 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 b. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sSectores Carmen y Jíbaro N.O. Lote 1-AB. Segunda Parte: Informe del plan de monitoreo arqueológico para el programa de estudio y exploraciones de Sísmica 3D, en el Lote 1 AB, Sector: Carmen. 64 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 c. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sectores Carmen y Jíbaro N.O. Lote 1-AB. Informe de la Ficha técnica, memoria descriptiva y planos de sitios delimitados. 14 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
238,Nuevo Andoas – Los Jardines,-,Loreto,Datem del Marañón,Andoas,-2.814390898,-76.4542039,No,219,-,-,"ABANTO LLAQUE, Julio. 2004. Evaluación arqueológica sin excavaciones en el Lote 1-AB. Zonas: Carmen, Jíbaro N.O. y Tambo. 26 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 a. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sectores Carmen y Jíbaro N.O. Lote 1-AB. Primera Parte: Informe de la delimitación de los sitios Alianza Topal y Capahuari. 60 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 b. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sectores Carmen y Jíbaro N.O. Lote 1-AB. Segunda Parte: Informe del plan de monitoreo arqueológico para el programa de estudio y exploraciones de Sísmica 3D, en el Lote 1 AB, Sector: Carmen. 64 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 c. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sectores Carmen y Jíbaro N.O. Lote 1-AB. Informe de la ficha técnica, memoria descriptiva y planos de sitios delimitados. 14 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
239,Tunigrama (PV Tunigrama),-,Loreto,Datem del Marañón,Andoas,-2.72785441,-76.62434746,No,235,-,-,"Memorando N° 1414-2010-DA-DREPH/INC, listado de monumentos arqueológicos aprobados mediante Acuerdo Técnico, pendientes de la emisión de su Resolución Directoral Nacional. // GEMA. 2006. Estudio de Línea Base Social del EIA Perforación de seis (06) pozos exploratorios – Lote 102, para la empresa Ramshorn. 111 pp. Lima, Perú."
240,Tunigrama,-,Loreto,Datem del Marañón,Andoas,-2.789801237,-76.48899974,Yes,232,-,-,"GEMA. 2006. Estudio de Línea Base Social del EIA Perforación de seis (06) pozos exploratorios – Lote 102, para la empresa Ramshorn. 111 pp. Lima, Perú."
241,Tahuanguro,-,Loreto,Datem del Marañón,Andoas,-2.68218134,-76.61342321,No,237,-,At the edge of river,"Memorando N° 1414-2010-DA-DREPH/INC, listado de monumentos arqueológicos aprobados mediante Acuerdo Técnico, pendientes de la emisión de su Resolución Directoral Nacional."
242,Bobonaza (PV Bobonaza),-,Loreto,Datem del Marañón,Andoas,-2.59805562,-76.62964473,No,234,-,-,"Memorando N° 1414-2010-DA-DREPH/INC, listado de monumentos arqueológicos aprobados mediante Acuerdo Técnico, pendientes de la emisión de su Resolución Directoral Nacional // GEMA. 2006. Estudio de Línea Base Social del EIA Perforación de seis (06) pozos exploratorios – Lote 102, para la empresa Ramshorn. 111 pp. Lima, Perú."
243,Aymentsa,LO-PTZ-AYM-01,Loreto,Datem del Marañón,Andoas,-2.714169775,-76.69772988,Yes,239,223,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
244,Huararay,LO-PTZ-HUA-02,Loreto,Datem del Marañón,Andoas,-2.726104606,-76.64743063,Yes,247,228,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
245,Titiyacu,LO-PTZ-TIT-03,Loreto,Datem del Marañón,Andoas,-2.778254167,-76.49441774,Yes,225,214,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
246,Los Brillantes,LO-PTZ-LBRI-04,Loreto,Datem del Marañón,Andoas,-2.800131918,-76.50825165,Yes,230,212,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
247,Nuevo Andoas,LO-PTZ-NAND-05,Loreto,Datem del Marañón,Andoas,-2.806276931,-76.46247784,Yes,219,211,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
248,Alianza Capahuari,LO-PTZ-ACAP-8,Loreto,Datem del Marañón,Andoas,-2.872244608,-76.39060835,Yes,219,211,At the edge of river,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
249,Andoas Viejo 1,LO-PTZ-AVI1-09,Loreto,Datem del Marañón,Andoas,-2.904755395,-76.40101979,Yes,214,203,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
250,Naranjal,LO-PTZ-NAR-11,Loreto,Datem del Marañón,Andoas,-3.160231419,-76.43383892,Yes,197,185,At the edge of river,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
251,Loboyacu,LO-PTZ-LOB-13,Loreto,Datem del Marañón,Andoas,-3.665823035,-76.36139054,Yes,179,164,At the edge of river,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
252,Nuevo Progreso ,LO-HUI-01,Loreto,Datem del Marañón,Andoas,-4.07268901,-76.65236516,No,155,155,-,"RIVAS PANDURO, Santiago. 2007. Arqueología Amazónica. Componente Temático para la Mesozonificación Ecológica y Económica de las cuencas de los ríos Pastaza y Morona. 113 pp. Informe Final presentado al PROFONAMPE-UNAP. Iquitos, Perú. // RIVAS PANDURO, Santiago; Ada MEDINA MENDOZA; Julio ABANTO LLAQUE; Richer RÍOS ZUMAETA; Corina CALDAS CARRILLO. 2007. Arqueología de las cuencas del Pastaza y Morona. Reporte de Zonificación Ecológica Económica. Pp. 269-302. Amazonía Peruana, Tomo XV, N° 31. CAAAP. Lima, Perú."
